year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1897.75,-4.68,8.84,-0.69
1897.583,-4.46,8.99,-0.91
1897.417,-3.85,9.13,-1.47
1897.25,-3.68,9.21,-1.56
1897.083,-3.75,9.19,-1.96
1896.917,-4.3,9.06,-1.79
1896.75,-4.61,8.98,-1.08
1896.583,-4.56,8.77,-0.94
1896.417,-4.06,9.02,-0.67
1896.25,-3.48,9.29,-1.25
1896.083,-3.62,9.34,-1.78
1895.917,-4.22,9.21,-1.79
1895.75,-4.61,9.09,-1.18
1895.583,-4.62,8.94,-0.54
1895.417,-4.07,9.11,-0.68
1895.25,-3.58,9.4,-1.21
1895.083,-3.68,9.39,-1.5
1894.917,-4.05,9.22,-1.6
1894.75,-4.49,9.03,-1.49
1894.583,-4.42,8.96,-0.87
1894.417,-4.08,9.06,-0.42
1894.25,-3.63,9.21,-0.49
1894.083,-3.49,9.29,-1
1893.917,-3.73,9.24,-1.55
1893.75,-4.08,9.1,-1.65
1893.583,-4.42,8.99,-0.98
1893.417,-4.34,8.99,-0.71
1893.25,-3.73,9.08,-0.46
1893.083,-3.39,9.22,-0.91
1892.917,-3.74,9.15,-1.42
1892.75,-4.45,8.93,-1.26
1892.583,-4.47,8.82,-1.08
1892.417,-4.23,8.97,-0.85
1892.25,-3.72,9.14,-0.86
1892.083,-3.64,9.18,-1.5
1891.917,-4.07,9.08,-2.08
1891.75,-4.66,8.94,-1.48
1891.583,-4.55,8.92,-1.26
1891.417,-4.15,9,-1.16
1891.25,-3.89,9.11,-1.26
1891.083,-3.67,9.21,-1.55
1890.917,-4.25,9.08,-1.9
1890.75,-4.67,8.95,-1.55
1890.583,-4.7,8.94,-1.24
1890.417,-4.41,9,-1.13
1890.25,-3.82,9.11,-1.21
1890.083,-4.1,9.07,-2
1889.917,-4.82,8.87,-1.79
1889.75,-4.81,8.9,-1.19
1889.583,-4.65,8.93,-0.92
1889.417,-4.11,8.94,-1.32
1889.25,-3.74,9.11,-1.54
1889.083,-3.82,9.2,-1.86
1888.917,-4.22,9.09,-1.99
1888.75,-4.67,8.97,-1.66
1888.583,-4.62,8.92,-1.15
1888.417,-4.36,9.07,-1.3
1888.25,-3.9,9.13,-1.34
1888.083,-3.62,9.3,-1.56
1887.917,-3.97,9.16,-1.84
1887.75,-4.63,9.02,-1.69
1887.583,-4.53,8.93,-1.33
1887.417,-3.78,9.17,-1.46
1887.25,-3.56,9.3,-1.36
1887.083,-3.79,9.16,-1.73
1886.917,-4.4,8.98,-2.11
1886.75,-4.58,8.92,-1.81
1886.583,-4.35,8.96,-1.24
1886.417,-4.09,9.09,-0.98
1886.25,-3.75,9.2,-1.16
1886.083,-3.53,9.3,-1.56
1885.917,-3.87,9.21,-1.9
1885.75,-4.26,9.07,-1.45
1885.583,-4.46,8.98,-1.01
1885.417,-4.34,8.96,-0.99
